ビベヌ 	 Vivenne
無名 #1034575 	 Nameless #1034575
無名 #1034897 	 Nameless #1034897
無名 #1034913 	 Nameless #1034913
無名 #1034914 	 Nameless #1034914
無名 #1034915 	 Nameless #1034915
無名 #1034916 	 Nameless #1034916
無名 #1034917 	 Nameless #1034917
無名 #1034918 	 Nameless #1034918
ル・マージャ 	 R'majha
無名 #1035010 	 Nameless #1035010
無名 #1035079 	 Nameless #1035079
無名 #1035084 	 Nameless #1035084
無名 #1035085 	 Nameless #1035085
無名 #1035086 	 Nameless #1035086
紅蓮祭実行委員ペ・オビヤノ 	 P'obyano
無名 #1036614 	 Nameless #1036614
無名 #1036615 	 Nameless #1036615
無名 #1036616 	 Nameless #1036616
無名 #1036617 	 Nameless #1036617
無名 #1036618 	 Nameless #1036618
無名 #1036628 	 Nameless #1036628
ネケケ 	 Nekeke
無名 #1036726 	 Nameless #1036726
無名 #1036839 	 Nameless #1036839
海を眺める男 	 Sea-gazing Man
ル・マージャ 	 R'majha
熱血な後輩冒険者 	 Eager Apprentice
冷静な後輩冒険者 	 Austere Apprentice
ル・フル・ティア 	 R'fhul Tia
常夏の冒険者 	 Faire Adventurer
常夏の冒険者 	 Faire Adventurer
無名 #1042717 	 Nameless #1042717
無名 #1042718 	 Nameless #1042718
無名 #1042719 	 Nameless #1042719
無名 #1042720 	 Nameless #1042720
無名 #1042721 	 Nameless #1042721
無名 #1042722 	 Nameless #1042722
無名 #1042723 	 Nameless #1042723
無名 #1042724 	 Nameless #1042724
無名 #1042725 	 Nameless #1042725
無名 #1042726 	 Nameless #1042726
無名 #1042727 	 Nameless #1042727
無名 #1042728 	 Nameless #1042728
無名 #1043030 	 Nameless #1043030
無名 #1043031 	 Nameless #1043031
無名 #1043032 	 Nameless #1043032
無名 #1043033 	 Nameless #1043033
無名 #1043034 	 Nameless #1043034
無名 #1043035 	 Nameless #1043035
無名 #1043036 	 Nameless #1043036
無名 #1043037 	 Nameless #1043037
無名 #1043038 	 Nameless #1043038
無名 #1043039 	 Nameless #1043039
無名 #1043040 	 Nameless #1043040
無名 #1043041 	 Nameless #1043041
無名 #1043042 	 Nameless #1043042
無名 #1043043 	 Nameless #1043043
無名 #1043044 	 Nameless #1043044
無名 #1043045 	 Nameless #1043045
無名 #1043046 	 Nameless #1043046
無名 #1043047 	 Nameless #1043047
無名 #1043048 	 Nameless #1043048
無名 #1043049 	 Nameless #1043049
無名 #1043050 	 Nameless #1043050
無名 #1043051 	 Nameless #1043051
無名 #1043052 	 Nameless #1043052
無名 #1043053 	 Nameless #1043053
無名 #1043054 	 Nameless #1043054
無名 #1043055 	 Nameless #1043055
無名 #1043056 	 Nameless #1043056
無名 #1043057 	 Nameless #1043057
無名 #1043058 	 Nameless #1043058
無名 #1043059 	 Nameless #1043059
無名 #1043060 	 Nameless #1043060
無名 #1043061 	 Nameless #1043061
無名 #1043062 	 Nameless #1043062
無名 #1043063 	 Nameless #1043063
無名 #1043064 	 Nameless #1043064
無名 #1043065 	 Nameless #1043065
リオネル 	 Lyonell
無名 #1045033 	 Nameless #1045033
無名 #1045035 	 Nameless #1045035
無名 #1045036 	 Nameless #1045036
無名 #1045043 	 Nameless #1045043
無名 #1045081 	 Nameless #1045081
無名 #1045085 	 Nameless #1045085
無名 #1045086 	 Nameless #1045086
無名 #1045087 	 Nameless #1045087
無名 #1045088 	 Nameless #1045088
無名 #1045089 	 Nameless #1045089
無名 #1045090 	 Nameless #1045090
無名 #1045091 	 Nameless #1045091
無名 #1045092 	 Nameless #1045092
無名 #1045093 	 Nameless #1045093
無名 #1045094 	 Nameless #1045094
無名 #1045095 	 Nameless #1045095
魔城の終着担当ペ・オビヤノ 	 P'obyano
無名 #1045235 	 Nameless #1045235
無名 #1045236 	 Nameless #1045236
無名 #1045237 	 Nameless #1045237
無名 #1045238 	 Nameless #1045238
紅蓮祭実行委員ペ・オビヤノ 	 P'obyano
メメジャ 	 Memeja
無名 #1051520 	 Nameless #1051520
無名 #1051529 	 Nameless #1051529
紅蓮祭実行委員ボドゥフォアン 	 Beaudefoin
無名 #1051594 	 Nameless #1051594
紅蓮祭実行委員長ヘールマガ 	 Haermaga
チャ・ザンザ 	 T'zanza
海保隊員ル・フル・ティア 	 R'fhul Tia
ル・マージャ 	 R'majha
海保隊員ボドゥフォアン 	 Beaudefoin
海保隊員ヒルドラナ 	 Hildelana
無名 #1054098 	 Nameless #1054098
無名 #1054102 	 Nameless #1054102
無名 #1054110 	 Nameless #1054110
無名 #1054118 	 Nameless #1054118
無名 #1054125 	 Nameless #1054125
無名 #1000843 	 Nameless #1000843
無名 #1000844 	 Nameless #1000844
無名 #1000845 	 Nameless #1000845
フィルスヌー 	 Fhilsnoe
ダカ・ジンジャル 	 Daca Jinjahl
ブルーメル 	 Bloemerl
マイシー 	 Maisie
ジョ・ホンゴ 	 Z'onggo
スクーフミンド 	 Skoefmynd
無名 #1000871 	 Nameless #1000871
無名 #1000872 	 Nameless #1000872
無名 #1000880 	 Nameless #1000880
無名 #1000881 	 Nameless #1000881
無名 #1000882 	 Nameless #1000882
アルドスキフ 	 Ahldskyf
無名 #1000894 	 Nameless #1000894
無名 #1000896 	 Nameless #1000896
ハルドベルク 	 Haldberk
ペ・タージャ 	 P'tahjha
ルブ・エポカン 	 Rubh Epocan
とり澄ましている御婦人 	 Glowing Goodwife
臭い息の海賊 	 Positively Pungent Pirate
キキルン商人 	 Qiqirn Trader
無名 #1000903 	 Nameless #1000903
無名 #1000904 	 Nameless #1000904
エリルヴェーン 	 Elilwaen
ラニエット 	 Laniaitte
モゾン・ダラゾン 	 Mozon Dalazon
無名 #1000912 	 Nameless #1000912
ル・バハーラ 	 R'baharra
リスフロー 	 Ryssfloh
フ・ズーミィ甲兵長 	 F'zhumii
無名 #1001183 	 Nameless #1001183
無名 #1001184 	 Nameless #1001184
キョキョルン 	 Kyokyoroon
スウィートニクス 	 Sweetnix Rosycheeks
異国街商人リザードマン 	 Mamool Ja Marketeer
スヴォズブレート 	 Swozblaet
ズヴィンベルク甲曹長 	 Zwynberk
ブルゲール商会 バンゴ・ザンゴ 	 Bango Zango
ノルティルウィブ 	 Nortyrwyb
ン・デリカ 	 N'delika
ン・タンモ 	 N'tanmo
ベーンシング 	 Baensyng
アビルファル 	 Abylfarr
グラスレール 	 Glazrael
ローズ 	 Rose
無名 #1003290 	 Nameless #1003290
無名 #1003291 	 Nameless #1003291
無名 #1003292 	 Nameless #1003292
無名 #1003295 	 Nameless #1003295
無名 #1003296 	 Nameless #1003296
無名 #1003297 	 Nameless #1003297
無名 #1003298 	 Nameless #1003298
無名 #1003299 	 Nameless #1003299
無名 #1003300 	 Nameless #1003300
無名 #1003345 	 Nameless #1003345
無名 #1003346 	 Nameless #1003346
無名 #1003347 	 Nameless #1003347
無名 #1003348 	 Nameless #1003348
無名 #1003350 	 Nameless #1003350
無名 #1003351 	 Nameless #1003351
無名 #1003352 	 Nameless #1003352
無名 #1003353 	 Nameless #1003353
無名 #1003354 	 Nameless #1003354
無名 #1003500 	 Nameless #1003500
無名 #1003501 	 Nameless #1003501
無名 #1003502 	 Nameless #1003502
無名 #1003503 	 Nameless #1003503
無名 #1003504 	 Nameless #1003504
ドゥドゥザン 	 Dodozan
無名 #1003506 	 Nameless #1003506
無名 #1003508 	 Nameless #1003508
無名 #1003514 	 Nameless #1003514
無名 #1003515 	 Nameless #1003515
無名 #1003517 	 Nameless #1003517
無名 #1003518 	 Nameless #1003518
無名 #1003520 	 Nameless #1003520
無名 #1003521 	 Nameless #1003521
無名 #1003522 	 Nameless #1003522
無名 #1003529 	 Nameless #1003529
無名 #1003551 	 Nameless #1003551
無名 #1003552 	 Nameless #1003552
無名 #1003553 	 Nameless #1003553
無名 #1003554 	 Nameless #1003554
無名 #1003576 	 Nameless #1003576
無名 #1003582 	 Nameless #1003582
フ・ズーミィ甲兵長 	 F'zhumii
アビルファル 	 Abylfarr
アルドスキフ 	 Ahldskyf
うるさい道化師 	 Mucose Mummer
ピーター・ウィンソム 	 Petyr Winsome
無名 #1009947 	 Nameless #1009947
無名 #1009948 	 Nameless #1009948
ヤ・シュトラ 	 Y'shtola
ササピク 	 Sasapiku
バルバレラ 	 Barberella
ワンマガ 	 Wannmaga
ミニオン好きの冒険者 	 Minion Enthusiast
ラナー・ミーゴ 	 Ranaa Mihgo
ナシュメラ 	 Nashmeira
無名 #1051192 	 Nameless #1051192
マルエラク 	 Mharelak
無名 #1000874 	 Nameless #1000874
無名 #1000875 	 Nameless #1000875
無名 #1000876 	 Nameless #1000876
ヤ・ミョイ 	 Y'myhoi
無名 #1000879 	 Nameless #1000879
モーディン 	 Mordyn
オ・カルカヤ 	 O'kalkaya
ア・ブロッカ 	 A'brohka
無名 #1000928 	 Nameless #1000928
ミナデーグ 	 Mynadaeg
ズズレ 	 Zuzule
ゴードバート 	 Godebert
ギナーデ 	 Ginnade
テフ・モシュロカ 	 Tefh Moshroca
無名 #1000940 	 Nameless #1000940
無名 #1000942 	 Nameless #1000942
無名 #1000943 	 Nameless #1000943
無名 #1000953 	 Nameless #1000953
ル・スーシモ 	 R'sushmo
無名 #1000961 	 Nameless #1000961
ココラマ 	 Cocorama
満腹で苦しそうな商人 	 Satiated Shopkeep
酔っぱらった海賊 	 Pissed Pirate
メーティマガ 	 Maetimaga
無名 #1000966 	 Nameless #1000966
無名 #1000967 	 Nameless #1000967
無名 #1000968 	 Nameless #1000968
スケーンレール 	 Skaenrael
カントゥナン 	 Quentenain
無名 #1000979 	 Nameless #1000979
グレゴリー 	 Gregory
ニニヤ 	 Niniya
シンギング・ストームクラウド 	 Singing Stormcloud
ス・ホジュビ 	 S'dhodjbi
無名 #1000989 	 Nameless #1000989
無名 #1000990 	 Nameless #1000990
無名 #1000991 	 Nameless #1000991
無名 #1000992 	 Nameless #1000992
無名 #1000994 	 Nameless #1000994
無名 #1001002 	 Nameless #1001002
無名 #1001003 	 Nameless #1001003
無名 #1001004 	 Nameless #1001004
フィンヘームル 	 Pfynhaemr
無名 #1001008 	 Nameless #1001008
無名 #1001017 	 Nameless #1001017
クリンドレール 	 Klindrael
イマニア 	 Imania
無名 #1001531 	 Nameless #1001531
無名 #1001532 	 Nameless #1001532
無名 #1002077 	 Nameless #1002077
無名 #1002078 	 Nameless #1002078
ギギワズ 	 Gigiwazu
無名 #1002080 	 Nameless #1002080
無名 #1002081 	 Nameless #1002081
無名 #1002082 	 Nameless #1002082
無名 #1002083 	 Nameless #1002083
バデロン 	 Baderon
ニニヤ 	 Niniya
無名 #1002701 	 Nameless #1002701
無名 #1003302 	 Nameless #1003302
無名 #1003324 	 Nameless #1003324
無名 #1003325 	 Nameless #1003325
無名 #1003326 	 Nameless #1003326
無名 #1003328 	 Nameless #1003328
無名 #1003329 	 Nameless #1003329
無名 #1003330 	 Nameless #1003330
無名 #1003332 	 Nameless #1003332
無名 #1003333 	 Nameless #1003333
無名 #1003334 	 Nameless #1003334
無名 #1003335 	 Nameless #1003335
無名 #1003336 	 Nameless #1003336
無名 #1003337 	 Nameless #1003337
無名 #1003338 	 Nameless #1003338
無名 #1003341 	 Nameless #1003341
無名 #1003342 	 Nameless #1003342
無名 #1003343 	 Nameless #1003343
無名 #1003523 	 Nameless #1003523
無名 #1003524 	 Nameless #1003524
無名 #1003525 	 Nameless #1003525
無名 #1003527 	 Nameless #1003527
無名 #1003528 	 Nameless #1003528
カントゥナン 	 Quentenain
グレゴリー 	 Gregory
ン・デリカ 	 N'delika
ン・タンモ 	 N'tanmo
ザントヘール甲軍曹 	 Zanthael
イ・トルワン 	 I'tolwann
怪しい旅芸人 	 Shifty Thespian
ダンチョー 	 Impresario
マジックポット 	 Magic Pot
オ・アデネク大甲士 	 O'adenek
スンディルンド 	 Sundyrund
リゼット・ド・ヴァレンティオン 	 Lisette De Valentione
ラルソニアン 	 Larsonient
執事王 	 Royal Seneschal
ウンシンヴィルフ 	 Unsynwilf
オスカルレ 	 Oscarlet
紅蓮祭実行委員 	 Moonfire Faire Chaperone
マメット012P・プレゼンター 	 Mammet Dispensator #012P
マメット012P・プレゼンター 	 Mammet Dispensator #012P
ササピク 	 Sasapiku
バルバレラ 	 Barberella
バルバレラ 	 Barberella
ササピク 	 Sasapiku
ササピク 	 Sasapiku
バルバレラ 	 Barberella
ワンマガ 	 Wannmaga
ベーンフェールド 	 Baenfaeld
エルヴェイ 	 Hervey
ベーンフェールド 	 Baenfaeld
オルトファンス 	 Hortefense
執事王の使者 	 Royal Herald
冒険者指導教官 	 The Smith
無名 #1017821 	 Nameless #1017821
ジロウマル 	 Jiromaru
無名 #1018365 	 Nameless #1018365
執事王の使者 	 Royal Herald
餅代官 	 Mochi Daikan
タロ 	 Taro
紅蓮祭実行委員マヤル・モヤル 	 Mayaru Moyaru
事情通の冒険者 	 Well-informed Adventurer
執事王の使者 	 Royal Herald
紅蓮祭実行委員マヤル・モヤル 	 Mayaru Moyaru
情報通の冒険者 	 Well-informed Adventurer
情報通の冒険者 	 Well-informed Adventurer
紅蓮祭実行委員マヤル・モヤル 	 Mayaru Moyaru
ワカマル 	 Wakamaru
紅蓮祭実行委員マヤル・モヤル 	 Mayaru Moyaru
情報通の冒険者 	 Well-informed Adventurer
紅蓮祭実行委員マヤル・モヤル 	 Mayaru Moyaru
情報通の冒険者 	 Well-informed Adventurer
エルグムス 	 Aergmhus
ブルオムウィダ 	 Bluomwyda
ボドゥフォアン 	 Beaudefoin
ヒルドラナ 	 Hildelana
無名 #1042667 	 Nameless #1042667
プディングウェイ 	 Puddingway
紅蓮祭実行委員マヤル・モヤル 	 Mayaru Moyaru
餅代官 	 Mochi Daikan
情報通の冒険者 	 Well-informed Adventurer
無名 #1042888 	 Nameless #1042888
無名 #1042934 	 Nameless #1042934
無名 #1042935 	 Nameless #1042935
無名 #1042937 	 Nameless #1042937
無名 #1042941 	 Nameless #1042941
無名 #1042942 	 Nameless #1042942
無名 #1042944 	 Nameless #1042944
シブリーの父親 	 Sibly's Father
シブリー 	 Sibly
餅代官 	 Mochi Daikan
群青の毛並み輝くウサギ 	 Azure-furred Rabbit
辰奉行 	 Ryu Bugyo
無名 #1044367 	 Nameless #1044367
辰目付 	 Ryu Metsuke
情報通の冒険者 	 Well-informed Adventurer
紅蓮祭実行委員マヤル・モヤル 	 Mayaru Moyaru
情報通の冒険者 	 Well-informed Adventurer
情報通の冒険者 	 Well-informed Adventurer
青巳与力 	 Blue Hebi Yoriki
黄巳与力 	 Yellow Hebi Yoriki
赤巳与力 	 Red Hebi Yoriki
無名 #1050468 	 Nameless #1050468
無名 #1050469 	 Nameless #1050469
無名 #1050470 	 Nameless #1050470
紅蓮祭実行委員マヤル・モヤル 	 Mayaru Moyaru
異邦の詩人 	 Wandering Minstrel
群青の毛並み輝くウサギ 	 Azure-furred Rabbit
白銀の毛並み輝くウサギ 	 Resplendent Rabbit
クロ・アリアポー 	 Khloe Aliapoh
ロウェナ 	 Rowena
餅代官 	 Mochi Daikan
プディングウェイ 	 Puddingway
無名 #1051427 	 Nameless #1051427
無名 #1051428 	 Nameless #1051428
馬与力 	 Uma Yoriki
無名 #1052490 	 Nameless #1052490
堂々とした騎士 	 Gainly Knight
たおやかな騎士 	 Graceful Knight
異邦の詩人 	 Wandering Minstrel
紅蓮祭実行委員マヤル・モヤル 	 Mayaru Moyaru
無名 #1002096 	 Nameless #1002096
無名 #1002103 	 Nameless #1002103
ネッダード 	 Neddard
無名 #1002208 	 Nameless #1002208
無名 #1002212 	 Nameless #1002212
ク・ワバツィ 	 K'wabati
無名 #1002226 	 Nameless #1002226
ウルスヴィルスト二等甲兵 	 Urswyrst
デュスレール 	 Doesrael
ユルギ・ホンルギ 	 Yulgi Honalgi
ワフフ 	 Wafufu
ラジン・ミルジン 	 Razyn Mylzyn
ルイモ・ファイモ 	 Ruimo Falaimo
カ・ナンゴ二等甲兵 	 C'nangho
ミルガントータ 	 Myrganthota
無名 #1002248 	 Nameless #1002248
セレス 	 Ceryth
ル・ピコイ 	 R'piqoi
グレインヴィルクル 	 Greinwyrkr
無名 #1002252 	 Nameless #1002252
無名 #1002254 	 Nameless #1002254
無名 #1002255 	 Nameless #1002255
無名 #1002260 	 Nameless #1002260
無名 #1002263 	 Nameless #1002263
無名 #1002270 	 Nameless #1002270
無名 #1002271 	 Nameless #1002271
無名 #1002272 	 Nameless #1002272
無名 #1002273 	 Nameless #1002273
ハルドブロダ 	 Haldbroda
ロストンゼッヘ 	 Rostnzeh
ア・ズーミン 	 A'zumyn
リングスティルム 	 Lyngstyrm
ヘッツケスル 	 Hezzkhezl
メーティミンド 	 Maetimynd
無名 #1002458 	 Nameless #1002458
無名 #1002459 	 Nameless #1002459
アセルフリード 	 Athelflead
無名 #1002461 	 Nameless #1002461
無名 #1002462 	 Nameless #1002462
無名 #1002470 	 Nameless #1002470
無名 #1002471 	 Nameless #1002471
無名 #1002472 	 Nameless #1002472
無名 #1002474 	 Nameless #1002474
無名 #1002475 	 Nameless #1002475
無名 #1002476 	 Nameless #1002476
無名 #1002477 	 Nameless #1002477
無名 #1002478 	 Nameless #1002478
無名 #1002479 	 Nameless #1002479
無名 #1002480 	 Nameless #1002480
無名 #1002481 	 Nameless #1002481
無名 #1002482 	 Nameless #1002482
無名 #1002483 	 Nameless #1002483
無名 #1002485 	 Nameless #1002485
無名 #1002488 	 Nameless #1002488
無名 #1002489 	 Nameless #1002489
無名 #1002490 	 Nameless #1002490
無名 #1002491 	 Nameless #1002491
無名 #1002492 	 Nameless #1002492
無名 #1002497 	 Nameless #1002497
無名 #1002498 	 Nameless #1002498
無名 #1002499 	 Nameless #1002499
無名 #1002500 	 Nameless #1002500
無名 #1002501 	 Nameless #1002501
無名 #1002502 	 Nameless #1002502
無名 #1002503 	 Nameless #1002503
無名 #1002507 	 Nameless #1002507
無名 #1002508 	 Nameless #1002508
無名 #1002509 	 Nameless #1002509
ザルメル 	 Zahrmerl
無名 #1002527 	 Nameless #1002527
無名 #1002532 	 Nameless #1002532
無名 #1002533 	 Nameless #1002533
無名 #1002541 	 Nameless #1002541
無名 #1002544 	 Nameless #1002544
シャルテイン 	 Chartain
無名 #1002554 	 Nameless #1002554
無名 #1002559 	 Nameless #1002559
無名 #1002563 	 Nameless #1002563
無名 #1002565 	 Nameless #1002565
無名 #1002566 	 Nameless #1002566
無名 #1002567 	 Nameless #1002567
無名 #1002568 	 Nameless #1002568
無名 #1002569 	 Nameless #1002569
無名 #1002570 	 Nameless #1002570
無名 #1002572 	 Nameless #1002572
無名 #1002573 	 Nameless #1002573
無名 #1002574 	 Nameless #1002574
無名 #1002575 	 Nameless #1002575
ユワワ 	 Yuwawa
無名 #1002577 	 Nameless #1002577
無名 #1002578 	 Nameless #1002578
アクトクーン 	 Ahctkoen
無名 #1002580 	 Nameless #1002580
無名 #1002581 	 Nameless #1002581
無名 #1002586 	 Nameless #1002586
無名 #1002588 	 Nameless #1002588
無名 #1002590 	 Nameless #1002590
スカルンマル 	 Skarnmhar
無名 #1002592 	 Nameless #1002592
無名 #1002595 	 Nameless #1002595
無名 #1002603 	 Nameless #1002603
アンクタ 	 Ancreta
無名 #1002608 	 Nameless #1002608
無名 #1002618 	 Nameless #1002618
無名 #1002619 	 Nameless #1002619
無名 #1002621 	 Nameless #1002621
無名 #1002622 	 Nameless #1002622
無名 #1002623 	 Nameless #1002623
無名 #1002625 	 Nameless #1002625
ヴェイツアレン 	 Weitzaren
ルートルスィス 	 Loetrswys
ル・ジュマニ 	 R'jumani
エシュシュ 	 Eshushu
ヴェーンジルン 	 Waentzirn
ムーグラム 	 Moegramm
ブルーンルヒト 	 Broenruht
アレンロナ 	 Arenlona
シ・パヤン 	 X'payan
ワホイ・マホイ 	 Wahoy Mahoy
ワフフ 	 Wafufu
無名 #1002705 	 Nameless #1002705
無名 #1002706 	 Nameless #1002706
無名 #1002707 	 Nameless #1002707
無名 #1002708 	 Nameless #1002708
ユルギ・ホンルギ 	 Yulgi Honalgi
無名 #1002710 	 Nameless #1002710
無名 #1002711 	 Nameless #1002711
無名 #1002712 	 Nameless #1002712
無名 #1003271 	 Nameless #1003271
シルスケートシン 	 Sylskaetsyn
イスーダ 	 Isouda
無名 #1003557 	 Nameless #1003557
無名 #1003558 	 Nameless #1003558
無名 #1003559 	 Nameless #1003559
無名 #1003579 	 Nameless #1003579
無名 #1003580 	 Nameless #1003580
無名 #1003581 	 Nameless #1003581
ツィンウィダ 	 Zwynwyda
スティルンロナ甲曹長 	 Styrnlona
赤馬同心 	 Red Uma Doshin
農場の園芸師 	 Stead Botanist
ヤ・シュトラ 	 Y'shtola
紅蓮祭実行委員エシリア 	 Ethelia
紅蓮祭実行委員マヤル・モヤル 	 Mayaru Moyaru
無名 #1010253 	 Nameless #1010253
無名 #1010255 	 Nameless #1010255
無名 #1010301 	 Nameless #1010301
無名 #1011015 	 Nameless #1011015
ブロークン・マウンテン 	 Broken Mountain
オストフィル 	 Ostfyr
無名 #1002127 	 Nameless #1002127
無名 #1002128 	 Nameless #1002128
無名 #1002129 	 Nameless #1002129
無名 #1002132 	 Nameless #1002132
無名 #1002133 	 Nameless #1002133
無名 #1002134 	 Nameless #1002134
無名 #1002135 	 Nameless #1002135
無名 #1002137 	 Nameless #1002137
無名 #1002138 	 Nameless #1002138
無名 #1002139 	 Nameless #1002139
無名 #1002150 	 Nameless #1002150
無名 #1002154 	 Nameless #1002154
無名 #1002155 	 Nameless #1002155
無名 #1002160 	 Nameless #1002160
無名 #1002161 	 Nameless #1002161
無名 #1002164 	 Nameless #1002164
無名 #1002165 	 Nameless #1002165
無名 #1002170 	 Nameless #1002170
無名 #1002171 	 Nameless #1002171
無名 #1002176 	 Nameless #1002176
無名 #1002177 	 Nameless #1002177
無名 #1002178 	 Nameless #1002178
無名 #1002179 	 Nameless #1002179
無名 #1002180 	 Nameless #1002180
無名 #1002181 	 Nameless #1002181
無名 #1002182 	 Nameless #1002182
無名 #1002183 	 Nameless #1002183
無名 #1002188 	 Nameless #1002188
無名 #1002190 	 Nameless #1002190
無名 #1002192 	 Nameless #1002192
無名 #1002193 	 Nameless #1002193
無名 #1002195 	 Nameless #1002195
ガーカント 	 Gurcant
ビルドレーグ 	 Bhirdraeg
ロットウィダ 	 Rhotwyda
オシン 	 Ossine
フルーアール 	 Pfrewahl
ヴィダルーフ 	 Wydaloef
グリーンウィダ 	 Grynewyda
カンマル 	 Khanmhar
シングリトゥヴ 	 Syngithuv
ジェッサミーヌ二等甲兵 	 Jessamine
ワ・ドヴァカ 	 W'dhovaka
カザイ・ブイザイ 	 Kazai Buoyzai
無名 #1003311 	 Nameless #1003311
無名 #1003312 	 Nameless #1003312
無名 #1003316 	 Nameless #1003316
無名 #1003317 	 Nameless #1003317
無名 #1003320 	 Nameless #1003320
無名 #1003321 	 Nameless #1003321
紅蓮祭実行委員ジャ・ナンゴ 	 J'nangho
無名 #1011014 	 Nameless #1011014
素材屋 	 Material Supplier
無名 #1005347 	 Nameless #1005347
無名 #1005348 	 Nameless #1005348
無名 #1005349 	 Nameless #1005349
無名 #1005350 	 Nameless #1005350
無名 #1005355 	 Nameless #1005355
無名 #1005357 	 Nameless #1005357
ダストマン789 ボ・ズ 	 789th Order Dustman Bo Zu
クラフトマン789 ボ・グ 	 789th Order Craftsman Bo Gu
ダストマン789 ボ・ブ 	 789th Order Dustman Bo Bu
無名 #1005934 	 Nameless #1005934
無名 #1005936 	 Nameless #1005936
アルケミスト13 ガ・ジ 	 13th Order Alchemist Ga Zi
オーガスティン二等甲兵 	 Augustine
フ・マージャ二等甲兵 	 F'majha
無名 #1007938 	 Nameless #1007938
無名 #1007940 	 Nameless #1007940
アルケミスト175 ビ・ビ 	 175th Order Alchemist Bi Bi
コボルド族のよろず屋 	 Kobold Vendor
無名 #1011019 	 Nameless #1011019
無名 #1030051 	 Nameless #1030051
無名 #1031469 	 Nameless #1031469
無名 #1015609 	 Nameless #1015609
無名 #1015610 	 Nameless #1015610
無名 #1009746 	 Nameless #1009746
無名 #1005324 	 Nameless #1005324
無名 #1005326 	 Nameless #1005326
無名 #1005328 	 Nameless #1005328
無名 #1005329 	 Nameless #1005329
無名 #1005332 	 Nameless #1005332
無名 #1005335 	 Nameless #1005335
無名 #1005337 	 Nameless #1005337
無名 #1005338 	 Nameless #1005338
無名 #1005340 	 Nameless #1005340
ゲゲルン 	 Gegeroon
タンガ・トンガ 	 Tanga Tonga
ブラウギバル上等甲兵 	 Blaugybal
ア・ルンリカ 	 A'rhunlika
イムム 	 Imumu
ハ・ボワカ 	 H'bhowaka
オストシッグ 	 Ostsygg
スェーンロナ 	 Swaenlona
ヤ・シュトラ 	 Y'shtola
無名 #1011018 	 Nameless #1011018
フオン・ブリオン 	 Fewon Bulion
ハ・ランボロ 	 H'rhanbolo
レインフレッド 	 Reynfred
ファールシュティム 	 Pfarstym
フレールーフ 	 Fraeloef
カンスィス 	 Khanswys
無名 #1003303 	 Nameless #1003303
無名 #1003304 	 Nameless #1003304
無名 #1003305 	 Nameless #1003305
無名 #1003307 	 Nameless #1003307
無名 #1003308 	 Nameless #1003308
無名 #1003309 	 Nameless #1003309
無名 #1003358 	 Nameless #1003358
ス・ナイロ二等甲兵 	 S'nairoh
無名 #1003361 	 Nameless #1003361
無名 #1003365 	 Nameless #1003365
無名 #1003369 	 Nameless #1003369
無名 #1003372 	 Nameless #1003372
無名 #1003373 	 Nameless #1003373
無名 #1003381 	 Nameless #1003381
無名 #1003382 	 Nameless #1003382
無名 #1003385 	 Nameless #1003385
無名 #1003390 	 Nameless #1003390
無名 #1003392 	 Nameless #1003392
アルドフート 	 Ahldfoet
無名 #1003395 	 Nameless #1003395
無名 #1003396 	 Nameless #1003396
無名 #1003402 	 Nameless #1003402
無名 #1003405 	 Nameless #1003405
無名 #1003407 	 Nameless #1003407
無名 #1003413 	 Nameless #1003413
無名 #1003415 	 Nameless #1003415
無名 #1003419 	 Nameless #1003419
無名 #1003426 	 Nameless #1003426
無名 #1003428 	 Nameless #1003428
無名 #1003429 	 Nameless #1003429
無名 #1003434 	 Nameless #1003434
アリルーフ甲軍曹 	 Alyrloef
無名 #1003439 	 Nameless #1003439
無名 #1003442 	 Nameless #1003442
無名 #1003443 	 Nameless #1003443
無名 #1003445 	 Nameless #1003445
無名 #1003449 	 Nameless #1003449
ウィルトスィス甲曹長 	 Wiltswys
無名 #1003454 	 Nameless #1003454
無名 #1003455 	 Nameless #1003455
無名 #1003457 	 Nameless #1003457
無名 #1003462 	 Nameless #1003462
無名 #1003463 	 Nameless #1003463
ルーハンド甲軍曹 	 Roehanth
スクリビルド 	 Skribyld
フュウ 	 Fyuu
ホォウ 	 Houu
無名 #1005942 	 Nameless #1005942
無名 #1005943 	 Nameless #1005943
海獣使いのパァア 	 Pahh
アルザ・ガミルザ 	 Alza Gamilza
フィルクマン 	 Firkmann
キ・アネブ 	 Q'ahnebb
ダヴィッド 	 Davyd
オタン・ヤラタン 	 Otan Yaratan
アルドウヴィル 	 Ahlduwil
エラピ・タロピ 	 Erapi Taropi
アーツァトラッハ一等甲兵 	 Ahtzatrach
ウ・ジュガル少甲士 	 U'jughal
エイリス中甲士 	 Eilis
ウルツ・コグルツ少甲士 	 Ururu Kogururu
ノルトムーン大甲士 	 Nortmoen
スタルレット大甲士 	 Sthalrhet
マジックポット 	 Magic Pot
キ・モロシ 	 Q'molosi
フペペ 	 Fupepe
カトグイストル准甲士 	 Catguistl
ルイス 	 Louis
サンクレッド 	 Thancred
ヤ・シュトラ 	 Y'shtola
ユウギリ 	 Yugiri
ミンフィリア 	 Minfilia
メルウィブ 	 Merlwyb
ヤ・シュトラ 	 Y'shtola
ミンフィリア 	 Minfilia
サンクレッド 	 Thancred
