商談か？ 	 Business with the cap'n?
そこのあんた、知ってるか？ 現在、ゴールドソーサーでは期間限定で、 MGP1.5倍キャンペーンを実施しているんだぜ！ 	 Do you love MGP? Then you best get yourself over to the Gold Saucer and make the most of the fifty percent bonus rewards on offer during this season's limited-time event! Did I mention it's only for a limited time!?
俺も引いてみるかな、おみくじ… 	 Mayhap I'll draw a lot myself...
ゴールドソーサーかぁ… 行ったことないなぁ 	 The Gold Saucer? Can't say I've ever considered visiting the place...
この衣装、いいねぇ 	 Talk about a stylish outfit!
ゴールドソーサーに 遊びにきませんか！？ 	 Countless wonders await you at the Manderville Gold Saucer!
ワン、ツー、スリーッ！ 	 One, two, three...!
あら、かわいい衣装！ 	 What a lovely costume!
なんだか楽しそう…！ 	 I daresay that looks like fun!
むっ……大吉！？ これは、航海の幸先もよさそうだ！ 	 Well, what do you know! It says “great fortune.” That bodes well for my voyage.
やったね、お父さん！ もっと大吉が出るように、辰の神様にお祈りするねー！ 	 You're so lucky, Papa! I'll pray to Seiryu and ask him to give you lots of good fortune, too!
俺は東方の縁起ものである「餅」を配ってる、餅代官ってんだ！ 餅配りが追いつかねえほどの盛況っぷり、 ねえちゃんのおかげだな！ 	 As mochi daikan, it is my duty to distribute festive rice cakes to our patrons...and our mochi stores can barely keep up with demand this Heavensturn! I take it your earnest endeavors are to thank for that, adventurer?
ここ西方で、辰にまつわる祝祭が行われていると聞いて、 はるばる人里までやってきたのさ。 この衣装は世を忍ぶ仮の姿として、白虎から渡されたんだ。 - ……ほう、大昔に僕が逃がした生け贄の子孫が、 祝祭の奉行をしているだって？ - 僕は助けたつもりはないけどね、ただの成り行きさ。 だが、遙かな時を超えてもなお、そのことを覚えているとは…… その娘の顔でも、少し見ていこうか。 	 When I heard that a celebration was to be held here in honor of me and mine, I wished to gaze upon its splendor with my own eyes... Byakko insisted I don this questionable attire, though he assured me that it would conceal my identity from unsuspecting mortals. - ...Hm? A descendant of the maiden I spirited away now takes charge of this festival, you say? Most intriguing. - At the time, my intentions were not as benevolent as she believed─whisking her away was but a means to appease my misguided worshipers. And yet...that her tale should endure this long is a testament to her gratitude. Perhaps I should give my regards to this bugyo of which you speak.
ぜひ、辰のヒナチョコボを連れていってください！ そしてときどき、「辰」のご利益を思い出してみてくださいね。 	 May Ryunosuke serve you well, my friend. And may the blessings of the ryu be upon you always.
クエ～～～ 	 Kweh, kweh!
こちらに残った辰のヒナチョコボも喜んでおる。 ヒナチョコボ自身もやる気を出すとは、 着ぐるみの効果は想像以上でござるな。 	 Though we leave Ryunosuke in your care, his younger brother Ryuji appears content to remain here and celebrate. 'Tis a joy to see him so fervently flapping about in his draconic attire.
そこのあんた、知ってるか？ 現在、ゴールドソーサーでは期間限定で、 MGP1.5倍キャンペーンを実施しているんだぜ！ 	 Do you love MGP? Then you best get yourself over to the Gold Saucer and make the most of the fifty percent bonus rewards on offer during this season's limited-time event! Did I mention it's only for a limited time!?
暑いですか～、暑いですよね～？ なんせ「紅蓮祭」のシーズンが到来してるから！ さあ、開催地のコスタ・デル・ソルで「ヒーロー士」と握手！ 	 The sun burns bright, and that means the Moonfire Faire is come to offer respite! This year, the Sunshine Savior patrols the sands of Costa del Sol, ready to fight back anyone and anything that would dare to put a damper on the festivities.
そこのあんた、知ってるか？ 現在、ゴールドソーサーでは期間限定で、 MGP1.5倍キャンペーンを実施しているんだぜ！ 	 Do you love MGP? Then you best get yourself over to the Gold Saucer and make the most of the fifty percent bonus rewards on offer during this season's limited-time event! Did I mention it's only for a limited time!?
そこのあんた、知ってるか？ 現在、ゴールドソーサーでは期間限定で、 MGP1.5倍キャンペーンを実施しているんだぜ！ 	 Do you love MGP? Then you best get yourself over to the Gold Saucer and make the most of the fifty percent bonus rewards on offer during this season's limited-time event! Did I mention it's only for a limited time!?
東方の海の色とはまた違う、すごく綺麗な青い海～！ 泳いでみたいなあ～……。 - あっ……ごめんなさい、気づかなくて！ 降神祭の催しへの参加は、まずは姉様……じゃなくて、 巳奉行様にお声がけくださいねっ！ 	 The sea here is such a marvelous color! So different to the waters back home. How I'd love to dive right in and swim to my heart's content! - Ah, forgive me! If you're looking to take part in our little Heavensturn event, you ought to speak to the hebi bugyo!
ふんふふ、ふふ～……。 - ……わぁ、ごめんねぇ。 人が多すぎて、ぼーっとしちゃってたみたい～。 - 降神祭の催しに参加したいのぉ？ じゃあねぇ、まずは巳奉行お姉さまのところに行って、 説明を受けてきてね～。 	 Hum hum-hummm... - Sorry, I was malms away. Still haven't gotten used to how busy this place is. - Are you here to take part in the trivia trial? You better speak with the hebi bugyo─she'll provide you with all the details.
ちくしょ～、腹減ってきたぜ……。 当番が終わったら、絶対に姉ちゃんたちとみんなで、 この街の美味い店巡りするんだ……！ - おっ、降神祭の催しの参加希望者か？ だったらまずは、アフトカースルってところに戻って、 姉ちゃ……巳奉行様に話を聞いてきてくれ！ 	 By the kami, I'm famished! Once my shift is over, I'm going to feast on the finest food Limsa Lominsa has to offer! - Oh, perhaps you're here for our Heavensturn event? Pray head to the Aftcastle─I think it's called─and speak with my sister, the hebi bugyo!
素晴らしい、正解です！ 	 Wonderful! That's correct!
大丈夫 「ひんと」を出しますから！ 	 How about I give you a little hint?
また在庫がなくなりそうだぞ…！ 	 Ah, supplies are running low again...
暑いですか～、暑いですよね～？ なんせ「紅蓮祭」のシーズンが到来してるから！ 開催地のコスタ・デル・ソルで、君も一緒に盛り上がろう！ 	 Yearning for a vacation from this sweltering heat? The Moonfire Faire has returned to the sandy beaches of Costa del Sol!
海都の新生祭、多くの人に来てもらえて何よりだよ。 君もぜひ、この空気を味わっていってほしい。 	 Many and more have come from far afield to enjoy the festive atmosphere of Limsa Lominsa this Rising. Now that your work is done, be sure to bask in it yourself.
使節団の彼女らが伝える、東方の蛇に対する考えは、 かつて僕のいた島の大蛇信仰とも、辿れば根を同じくするもの。 まぁ僕は最終的に、悪しき大蛇と呼ばれていたわけだけどね。 - しかし、僕の伝承とは違う形で、 東方では今も、蛇が幸福の象徴として敬われ続けている。 それに触れることができて……嬉しく思うよ。 	 The fable the delegates speak of resembles the snake-worship once prevalent in my birthplace. Of course, the people ultimately turned against their guardian serpent, and came to view me as nothing more than a malevolent beast... - It heartens me to see that the Great White Tsuchinoko still inspires awe and reverence. Perhaps its own abundant fortune saved it from a similar fate to mine.
見るがいい、。 私も催しに参加し、白ツチノコの置物を得たぞ……！ - 我が毛並みに似た、真白き鱗を持つその姿に、 何やら親近感を抱いてな。 世に珍しき体色ゆえに尊ばれるとは、喜ばしきことだ。 - これを持ち帰り、我がねぐらに置こうかと思う。 お前も、新たに得た白き友を大切にするのだぞ。 	 I have something to show you, . Behold this white tsuchinoko ornament I won just moments ago! - See how it gleams with the same splendorous white as my fur? I cannot help but feel a keen sense of affinity. - Suffice it to say, the ornament shall have pride of place in my humble abode. I trust you will treat your newfound friend with the same reverence.
蛇はこわ～い生き物ってイメージだったけど、 降神祭の使節団の人たちのおかげで、 わたしも興味が出てきちゃった！ - 白ツチノコはすごく珍しいんだって！ いろんな場所を旅する冒険者なら、 旅先で本物と出会えそうだね！ - ……えっ、もう出会っちゃったの！？ すごい、すっご～い！ 	 Khloe used to think snakes were awful, squirmy, scaly beasts, but thanks to those fellows from the Far East, I think I've had a change of heart! - Apparently, there's this one serpent─the Great White Tsuchinoko─that's almost impossible to find. Though Khloe bets with all the adventuring you do, you'll come across it sooner or later! - You've already crossed paths with it!? That's incredible!
商談が始まるまで時間があるから、 せっかくだし参加してみてるのよ。 何やら、縁起のいい景品がもらえるそうじゃない？ - 「縁起」や「幸運」を司るなんて不確かなものにもかかわらず、 誰しもが欲しがる景品として成立する……。 それってつまり、高い需要があるということよね！ - うちの商会で扱う品も、金運アップのご利益が…… とか噂を流せば、もっと高い値段をつけられそうね。 ふふ……大いに参考にさせてもらうわ！ 	 Got some time before my next meetin'─figured I'd give this Slithery Trivia Trial a shot. Heard there's a lucky li'l somethin' waiting at the end of the quiz too. - Claimin' something bestows good fortune─well that's hardly somethin' you can prove, right? But folks have been lining up to get their hands on a prize! - Which got me thinkin'. Clearly there's a demand for lucky bits and bobs─if I get the word out that my goods magically help with money woes, or somethin' to that effect, people'll happily hand over an extra gil or two! I'll be rakin' it in!
おうおう、「餅代官」とは俺のことよぉ！ 今回の催しも大好評で嬉しい限りだ！ - オッ、聞いたぜおめぇさん！ なんでも、本物の白ツチノコ様をお迎えになったんだって！？ - 白ツチノコ様にゃあ敵わねえが、 俺の自慢の降神餅を合わせれば、更に縁起がいいってもんよ！ たーんと餅を味わっていきなぁ！！ 	 Well met. You're speaking with the mochi daikan! I must say, it's a delight to see all the interest this event has generated! - And I heard all about your encounter with the Great White Tsuchinoko! How auspicious! - Ah, I don't suppose I can interest you in some advent cakes? They can't compete with the squidgy serpent itself when it comes to fortune, but they're a good deal luckier than your average treat, that's for sure!
東方の鏡餅というのも、とっても魅力的な形をしていますが、 ぷるぷるのプディングと違い、すごく硬～いんですって！ しかしモチモチだとの証言もあり……謎は深まるばかりです！ - さらには、ライスプディングという、 お餅の米を使ったデザートがあるとも聞きました。 プディングとお餅の融合とは、どんなお味なんでしょう～！？ 	 Those Far Eastern rice cakes look absolutely delightful! Apparently, they're hard as pebbles, though! I was expecting something squidgier, if I'm completely honest with you... - I also heard about a scrumptious treat called “rice pudding.” All these rice-based delicacies─it's an exciting new frontier of dessert discovery!
うーんうーん… 	 Hmmm...
むずかしいや！ 	 This is tough!
東方に伝わる一角獣は、良き君主のもとに現れたり、 正義を見極めたりすると言われている瑞獣でございやす。 こちらのユニコーンとも似ているとのこと、興味深いお話で。 - こうして我らが降神祭の季節に詣でる前にも、 東西はどこかで繋がったことがあったのやもしれませぬなぁ……！ 	 In the Far East, the unicorn is held to be an exalted beast that appears before pure-hearted rulers, and discerns good and evil. - That it should bear a resemblance to the unicorn of Eorzea is fascinating indeed. It may well be that our lands once shared a connection in the past!
見てください 馬の凛々しさを！ 	 Behold the majesty of the horse!
我々はキャンプ・ドラゴンヘッドを代表して、 今回の降神祭に参加させてもらっているんだ。 見てくれたまえ、この東方の粋な兜を！ - 以前、我が主が降神祭より持ち帰ったのを見たことがあってね。 実にイイ品だと、砦の兵たちの間で人気になっていたのだよ。 	 We have the honor of participating in this Heavensturn celebration as representatives of Camp Dragonhead. - During a previous event, our commander returned with the selfsame helm as this, and it quickly became a favorite among our garrison. Very dashing, would you not agree?
今回の降神祭で「ますこっと」になったユニコルトは、 我らフォルタン家が皇都に働きかけ提供させてもらったの。 縁を重んじるのは、私たちの騎士道に則るものだからね。 - 交渉は少しだけ骨が折れたけど、 人馴れしていないあの子も外に出て喜んでいたみたい。 催しでも活躍したみたいで、嬉しいわ。 	 Lest you wonder, 'twas House Fortemps that petitioned the Holy See to provide the Far Eastern delegation with the unicolt─a testament to the import we place in the bonds of friendship. - The negotiations were something of a trial, but we are proud to have contributed to the festivities, and I couldn't be gladder to see the shy little one find its feet out in the world.
新生祭とは、霊災の犠牲を偲び未来への区切りとする祝祭…… だからか、この時期はエオルゼアを歩いて回る人が多いんだ。 よかったら君も、新生の空気を肌で感じてみてはどうかな。 	 The Rising is an occasion to remember the past while looking towards the future. Many take to the road in solemn reflection, and should you have the time to spare, mayhap you would like to do the same.
暑いですか～、暑いですよね～？ なんせ「紅蓮祭」のシーズンが到来してるから！ 開催地のコスタ・デル・ソルで、海を遊びつくそう！ 	 You won't want to miss this year's Moonfire Faire. Chart a course for Costa del Sol before the Queen Lhaminn sets sail for good!
